"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_NOTCH_SIGNALING_PATHWAY",0.930605695948656,0.995097341857923,0.0155078286787783,0.191592176132743,0.707315209370163,44,"CTBP2; DTX2; EP300; DTX4; DTX1; DTX3L; ADAM17; PSEN2; NOTCH2; DTX3"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR",0.931171672965984,0.995333291566007,0.0153806033334961,0.1719302900285,0.798115761228066,156,"EYA3; H4C4; TP53BP1; NHEJ1; H4C14; RAD52; H4C12; DCLRE1C; ERCC4; H2BC21; H2BC5; H2BC8; LIG4; BAZ1B; H2BC26; HUS1; H2BC6; LIG3; PAXIP1; POLH; KDM4A; GEN1; RAD9A; XRCC2; H2BC12; CLSPN; H4C9; RAD9B; RBBP8; H2BC4; KPNA2; MUS81; ATRIP; XRCC3; PRKDC; POLD3; BRCA1; POLD4; ATR; POLK; H2BC11; H2AX; RAD51; H4C8; NSD2"
"REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS",0.931410127093,0.995333291566007,0.0155797249459383,-0.212447396975926,-0.658453595683736,22,"ADCYAP1; GNB1; SCTR; GLP1R; GIPR; SCT; GNG13; GNAS"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.932112283495919,0.995520692685227,0.0153775150864762,0.200044185727814,0.669849062089588,29,"PMAIP1; DYNLL1"
"REACTOME_MALATE_ASPARTATE_SHUTTLE",0.932169375877985,0.995520692685227,0.015492249443265,-0.248481525296848,-0.602678673529899,9,"MDH1; MDH2; SLC25A22; GOT2; SLC25A13"
"REACTOME_INSULIN_PROCESSING",0.933917197452229,0.995999229363376,0.0153466709981738,0.206402788879311,0.651924229880209,23,"KIF5A; EXOC2; MYO5A; KIF5C; MYRIP"
"REACTOME_LIPOPHAGY",0.933187946074544,0.995999229363376,0.0153005350276996,0.257700939881413,0.600096995185894,8,"PRKAG2; HSPA8; PRKAB1"
"REACTOME_TRNA_PROCESSING",0.934123317935328,0.995999229363376,0.0154735779514473,0.175955175133775,0.774550451947632,112,"TRMT44; WDR4; CSTF2; TRMT12; TSEN54; NUP62; TRNT1; CTU1; TRMT13; QTRT2; PUS1; RPP14; POP5; POP1; LCMT2; RANBP2; TP53RK; ADAT1; NUP93; TSEN2; RPP25; POP4; NUP153; TSEN15; TYW5; RPP38; NUP85; TRMT61B; PRORP; RPP40; TPR; NUP188; NSUN6; NUP42; TRMT6"
"WP_GLIAL_CELL_DIFFERENTIATION",0.933962264150943,0.995999229363376,0.0154673598247661,0.289490878305165,0.582840418193494,5,"MBP; CNP; TPPP"
"WP_LEPTIN_AND_ADIPONECTIN",0.933782712133228,0.995999229363376,0.0152913264711574,0.257256756550603,0.599062644739779,8,"ACACA; PRKAB1; LEPR"
"WP_PYRIMIDINE_METABOLISM",0.934369951534733,0.995999229363376,0.0155484187395558,0.180621149866806,0.754090243952469,83,"NME6; CMPK2; POLA2; ENPP1; POLR1B; UMPS; POLR2H; TYMP; POLR2D; ENTPD1; NME4; UCK1; POLR3D; NME3; CTPS1; POLR3H; CTPS2; POLD3; UCK2; POLR1E; POLD4"
"REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION",0.934844192634561,0.996193342776204,0.0155703254673623,-0.214594021053253,-0.639365568583016,19,"PPP2CA; EMD; PPP2R1A; SIRT2; BANF1; PPP2R2A"
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4",0.935781657635962,0.996880803667176,0.0154363118150511,-0.201431831733015,-0.661014181030992,27,"CXCL12; APOE; STAT5A; WWOX; YAP1"
"REACTOME_DNA_REPLICATION",0.937125748502994,0.997377903369291,0.0153374313413505,-0.171283662865958,-0.800195116095714,166,"H2AC19; UBC; ORC1; H3-3B; H3C13; H3C1; H2BC15; PSMC1; RPS27A; H2BC17; H4C16; H3-3A; PSMA6; H2AJ; ANAPC16"
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",0.936942296252231,0.997377903369291,0.0152453762573794,0.200417534166007,0.665819411964995,28,"COL1A2; COL1A1; RHOB"
"WP_HEDGEHOG_SIGNALING_WP47",0.936974789915966,0.997377903369291,0.0153744275385795,0.220810703454767,0.629504148359119,16,"PTCH2; GLI1; DHH"
"REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS",0.9375,0.997464898595944,0.0153836922800634,0.191951207374292,0.675469578732186,36,"DEGS2; FA2H; SPTLC2; CERS4; PRKD1; SPTLC3; SGMS1; CERS2; ORMDL2; SPHK1"
