"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"WP_INTRACELLULAR_TRAFFICKING_PROTEINS_INVOLVED_IN_CMT_NEUROPATHY",0.148107515085025,0.533875926469275,0.0486112298055334,-0.384313336172806,-1.27344876997646,26,"PMP22; NDRG1; RAB3A; MPZ; SH3TC2; RAB7A"
"WP_INTRAFLAGELLAR_TRANSPORT_PROTEINS_BINDING_TO_DYNEIN",0.147895084857836,0.533875926469275,0.0538152137392164,0.365312958367239,1.26516040618492,27,"DYNC1I1; DYNLL1; DYNLT3; DYNC1LI2; IFT22; WDR19; DYNC1H1; DYNLT2B; DYNLRB1; IFT81; DYNC2H1; DYNC2LI1; IFT80; WDR35; IFT43; DYNLT1"
"BIOCARTA_VEGF_PATHWAY",0.14829036386908,0.533970581619391,0.0485785891955028,-0.384231505283468,-1.27317761767556,26,"VEGFA; FLT1; KDR; PLCG1; SHC1; NOS3; VHL; EIF2B4; EIF2B5; EIF2S3; EIF1; ELAVL1; EIF2B1"
"WP_FAS_LIGAND_PATHWAY_AND_STRESS_INDUCTION_OF_HEAT_SHOCK_PROTEINS",0.148722627737226,0.534253351425739,0.0546498540116765,0.330507882921295,1.24712671549909,39,"IL1A; NFX1; BCL2; FAS; APAF1; PRKDC; MAP3K7; SPTAN1; RB1; CASP7; CFLAR; CASP8; DFFB; CASP6; CASP10; ACTA1; LMNB1; PAK1; CASP3; PARP1; PAK2"
"WP_IRONSULFUR_CLUSTER_BIOGENESIS",0.148838910221247,0.534253351425739,0.0484810181268706,-0.453570848375908,-1.29902159241879,15,"NARF; LYRM4; NFS1; ABCB7; CIAO2B; HSCB"
"WP_THIAMINE_METABOLIC_PATHWAYS",0.148729446935725,0.534253351425739,0.0490744516137842,-0.556077634528847,-1.32264171779208,8,"BCKDHA; TKT; BCKDK; PDHA1"
"WP_SYNAPTIC_VESICLE_PATHWAY",0.14900426742532,0.534284492029802,0.0477188632185394,-0.332401455432994,-1.2437124697193,44,"RAB3A; DNM1; SLC25A4; CLTA; UNC13B; AP2A2; CACNA1A; UNC13A; CPLX1; SYP; CACNA1B; AP2A1; ATP1A2; DNM2; AP2S1; SLC1A3"
"WP_FTO_OBESITY_VARIANT_MECHANISM",0.149476831091181,0.535415960106016,0.0489408978432111,-0.555697689115744,-1.32173801006739,8,"IRX3; IRX5"
"BIOCARTA_VITCB_PATHWAY",0.149849962490623,0.535917688210647,0.0489741949025186,-0.502780248346831,-1.31132496123855,11,"SLC2A1; SLC23A2; P4HB; COL4A3; COL4A6; SLC2A3"
"REACTOME_MINERALOCORTICOID_BIOSYNTHESIS",0.149931224209078,0.535917688210647,0.0502149116750946,-0.830912491543635,-1.26899688761848,2,"CGA; LHB"
"REACTOME_ANDROGEN_BIOSYNTHESIS",0.150486362769407,0.536914799607466,0.0493105408604762,-0.652511342832126,-1.32697640992189,5,"CGA; LHB; SRD5A3; SRD5A1; HSD17B12"
"REACTOME_KINESINS",0.150525087514586,0.536914799607466,0.0549663983626419,0.294363790650214,1.21507792532059,58,"KIF1B; KIF5A; TUBB2A; KIF6; TUBA1C; CENPE; KIF26B; TUBB1; KIF2A; KIF23; KIF4A; KIF18A; KIF1C; TUBA8; KIF5B; KIF15; KIF11; TUBB4A; KIF20A; RACGAP1; KIF21A; KIF3C; KIF4B; TUBB6; TUBB4B; KLC1; KIF27; KIF16B; TUBB8; KIF18B; KIF3A; KIF20B; TUBA1B"
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION",0.150753768844221,0.53695129618411,0.0476567854784662,-0.352832757311631,-1.25458464393902,35,"ATP1B1; SCNN1G; NR3C2; PRKCG; SCNN1B; SCNN1A"
"REACTOME_GAP_JUNCTION_ASSEMBLY",0.150850246845858,0.53695129618411,0.0481276908996666,-0.383632230820632,-1.27119188037282,26,"GJA3; TUBA3E; GJA4; TUBB2B; TUBB8B; GJB2; GJA1; GJB1; TUBB3"
"WP_CHOLESTEROL_BIOSYNTHESIS_WITH_SKELETAL_DYSPLASIAS",0.15107778819119,0.537200477301313,0.0487423816606491,-0.583941788254013,-1.33408330401499,7,"DHCR7; DHCR24; NSDHL; EBP"
"PID_AVB3_INTEGRIN_PATHWAY",0.151529301891198,0.538244707759359,0.0547849027087005,0.277052353141142,1.197599126948,73,"COL6A3; COL15A1; COL8A1; COL11A1; COL10A1; COL6A2; CBL; COL5A2; COL8A2; COL1A2; PIK3R1; ADGRA2; COL12A1; FN1"
"REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION",0.151914295749912,0.538304989777159,0.0468985269479182,-0.322125640836805,-1.23923528159129,49,"H2AC19; H2BC6; NEIL2; H2BC15; H2BC13; H2AC14; H2BC17; H2AJ; H4C15; H4C12; H4C16; MPG; H2AC8; H2BC8; H4C3; H4C9; NEIL1; H3-4; H2BC12; UNG; H4C8; NTHL1"
"REACTOME_DNA_DOUBLE_STRAND_BREAK_RESPONSE",0.152101866387581,0.538304989777159,0.0466919018140932,-0.300183360032779,-1.22048326961525,66,"UBC; KDM4B; H2BC6; UBE2I; H2BC15; UBXN1; UBA52; RPS27A; H2BC13; H2BC17; ABL1; H4C15; H4C12"
